LtgNr;Kurzname1;Pin1;xy1;Kontakt1;Kurzname2;Pin2;xy2;Kontakt2;Sonderltg;Innenleiter;Longueur;Farbe;Quer.
765157;BVA1_2H;2;1-75D;-;SP_BVAV2;1;1-84B;-;SL765151;4-ge;1393;GE;0,5
765158;BVA1_2A;2;1-75E;-;SP_BVAV2;1;1-84B;-;SL765152;4-ge;1393;GE;0,5
765207;ESPB;3;1-72C;N_105_115_03;1FWVW;6;1-43F;N_103_190_02;-;-;2126;WS;2,5
765208;1FWVW;5;1-43F;N_103_190_02;ESPB;2;1-72C;N_105_115_03;-;-;2126;GE;2,5
765209;ESPB_R;3;1-53D;N_105_115_03;1FWVW;6;1-43F;N_103_190_02;-;-;1315;WS;2,5
765210;ESPB_R;2;1-53D;N_105_115_03;1FWVW;5;1-43F;N_103_190_02;-;-;1315;GE;2,5
782002;SAMB;3;1-82F;N_105_112_01;1TRKMR;3;1-88H;N_105_982_01;-;-;555;WS;0,5
785001;WW1A;2;1-18F;N_105_114_03;SAMB;8;1-82F;N_105_112_01;-;-;1697;GN/WS;1
785002;WW1A;1;1-18F;N_105_114_03;SAMB;7;1-82F;N_105_112_01;-;-;1697;GN/RT;1
785003;WMG;1;1-18D;N_906_843_02;SP_WAWA;1;1-50H;-;-;-;1146;BR/BL;0,35
785004;WMG;2;1-18D;N_906_843_02;SAMB;28;1-82F;N_907_647_01;-;-;1827;VI/WS;0,35
785107;WW1X2;1;1-17E;-;HW1X_MR;1;1-86F;-;-;-;1897;SW;6
785108;WW1W2;1;1-23F;-;SP_H2O_SD;1;1-66G;-;-;-;2965;SW;6
785109;SP_H2O_SD;1;1-66G;-;SDW1;1;1-70G;-;-;-;750;SW;6
785110;SWD2;1;1-66F;-;SP_H2O_SD;1;1-66G;-;-;-;75;SW;6
786010;EMBF;91;1-33H;N_105_117_01;3TRKMR;13;1-87G;N_105_982_01;-;-;1687;GN/SW;0,5
786027;1GEB;1;1-55C;N_906_966_02;MB764A;1;1-56H;6Q0_971_859;-;-;944;BR;4
786028;1GEB;2;1-55C;N_906_966_02;3TRKMR;16;1-87G;N_103_193_01;-;-;1742;RT/GE;4
786049;7TRKMR;12;1-86B;N_105_974_01;SP_LIN2MR;1;1-53A;-;-;-;1110;VI/WS;0,35
786083;EMBF;92;1-33H;N_105_117_01;SP_MB673B2;1;1-39E;-;-;-;659;BR;0,5
786086;1KV;1;1-47A;N_105_111_03;SP_LIN2MR;1;1-53A;-;-;-;385;VI/WS;0,35
786089;1KV;4;1-47A;N_105_112_03;SP_MB687C1;1;1-49A;-;-;-;349;BR;0,5
786096;2TRKMR;16;1-87G;N_103_191_01;SP_MB687C1;1;1-49A;-;-;-;2298;BR;0,5
786100;1KV;5;1-47A;N_105_112_03;SP_GNDWP;1;1-49A;-;-;-;304;BR/BL;0,5
786107;SP_GNDWP;1;1-49A;-;KDS;1;1-47D;N_105_112_03;-;-;439;BR/BL;0,5
786112;SP_87KLMR_2;1;1-47A;-;KDS;3;1-47D;N_105_112_03;-;-;343;SW/BL;0,5
786113;3TRKMR;3;1-87G;N_105_982_01;SP_GNDWP;1;1-49A;-;-;-;2253;BR/BL;0,5
786114;EMBF;11A;1-33H;N_907_326_01;EMBF;93;1-33H;N_105_117_01;-;-;0;RT/SW;1
786115;EMBF;95;1-33H;N_105_117_01;SP_87KLMR_1;1;1-54H;-;-;-;865;SW/BL;1
786120;SP_GNDWP;1;1-49A;-;DTS1;1;1-48C;N_105_975_02;-;-;394;BR/BL;0,5
786121;SP_87KLMR_2;1;1-47A;-;DTS1;4;1-48C;N_105_975_02;-;-;298;SW/BL;0,5
786123;SP_87KLMR_1;1;1-54H;-;LGS_AS;1;1-60E;N_907_649_02;-;-;1323;SW/BL;0,5
786124;SP_MB687C1;1;1-49A;-;LGS_AS;2;1-60E;N_907_649_02;-;-;2689;BR;0,5
786125;SP_87KLMR_1;1;1-54H;-;LGS2_AS;1;1-60D;N_907_649_02;-;-;1323;SW/BL;0,5
786126;SP_MB687C1;1;1-49A;-;LGS2_AS;2;1-60D;N_907_649_02;-;-;2689;BR;0,5
786127;2FWVW;10;1-42D;N_103_361_02;SP_87KLMR_1;1;1-54H;-;-;-;530;SW/BL;0,5
786130;2FWVW;12;1-42D;N_103_361_02;SP_MB687C1;1;1-49A;-;-;-;2066;BR;0,5
786131;3TRKMR;14;1-87G;N_107_768_01;SP_87KLMR_1;1;1-54H;-;-;-;1022;SW/BL;1
786132;3TRKMR;7;1-87G;N_105_981_01;AVKLI;1;1-56A;N_105_111_03;-;-;2128;WS;0,35
786133;SP_MB792A2;1;1-53B;-;AVKLI;2;1-56A;N_105_111_03;-;-;355;BR;0,35
786135;EXV1;1;1-60A;N_105_975_02;SP_87KLMR_2;1;1-47A;-;-;-;587;SW/BL;0,5
786136;SP_MB687C1;1;1-49A;-;EXV1;4;1-60A;N_105_975_02;-;-;545;BR;0,5
786138;LGS_AS;3;1-60E;N_907_647_02;7TRKMR;7;1-86B;N_105_974_01;-;-;3214;VI/BL;0,35
786139;SP_LIN2MR;1;1-53A;-;KDS;2;1-47D;N_105_111_03;-;-;520;VI/WS;0,35
786141;LGS2_AS;3;1-60D;N_907_647_02;7TRKMR;7;1-86B;N_105_974_01;-;-;3214;VI/BL;0,35
786142;2FWVW;1;1-42D;N_103_360_03;SP_LIN3MR;1;1-71B;-;-;-;1685;VI/RT;0,35
786143;SP_LIN6MR;1;1-71B;-;7TRKMR;13;1-86B;N_105_974_01;-;-;1106;VI/WS;0,35
786144;1GEB;3;1-55C;N_907_326_02;SP_LIN3MR;1;1-71B;-;-;-;2074;VI/RT;0,5
786145;SP_LIN3MR;1;1-71B;-;EXV1;3;1-60A;N_105_974_02;-;-;466;VI/RT;0,35
786146;DTS1;2;1-48C;N_105_975_02;SP_LIN3MR;1;1-71B;-;-;-;721;VI/RT;0,5
786147;SP_LIN3MR;1;1-71B;-;7TRKMR;11;1-86B;N_105_974_01;-;-;1106;VI/RT;0,35
786148;SP_LIN6MR;1;1-71B;-;2FWVW;2;1-42D;N_103_360_03;-;-;1685;VI/WS;0,35
786149;SP_LIN6MR;1;1-71B;-;1KV;2;1-47A;N_105_111_03;-;-;631;VI/WS;0,35
786151;2FWVW;14;1-42D;N_103_361_02;SP_87KLMR_1;1;1-54H;-;-;-;530;SW/BL;0,5
786152;2FWVW;7;1-42D;N_103_361_02;SP_GNDWP;1;1-49A;-;-;-;2011;BR/BL;0,5
786153;2GEB;1;1-55C;N_105_111_03;3TRKMR;10;1-87G;N_105_981_01;-;-;1777;GN/VI;0,35
786154;2GEB;2;1-55C;N_105_111_03;3TRKMR;8;1-87G;N_105_981_01;-;-;1777;VI/GE;0,35
786155;2GEB;3;1-55C;N_105_111_03;3TRKMR;9;1-87G;N_105_981_01;-;-;1777;VI/BR;0,35
786156;2GEB;4;1-55C;N_105_111_03;3TRKMR;11;1-87G;N_105_981_01;-;-;1777;VI/SW;0,35
786157;2GEB;5;1-55C;N_105_111_03;3TRKMR;12;1-87G;N_105_981_01;-;-;1777;WS;0,35
786159;1KV;3;1-47A;N_105_112_03;SP_87KLMR_1;1;1-54H;-;-;-;1786;SW/BL;1
786160;SP_87KLMR_2;1;1-47A;-;SP_87KLMR_1;1;1-54H;-;-;-;1777;SW/BL;1
791003;SAMB;43;1-82F;N_105_112_01;EMBF;62;1-33H;N_105_117_01;-;-;1447;RT/BR;0,5
791004;SP_MB673A1;1;1-40H;-;FHT_AS;2;1-22C;N_104_427_01;-;-;1395;BR;1
791005;FHT_AS;1;1-22C;N_104_427_01;EMBF;63;1-33H;N_105_117_01;-;-;1609;SW/WS;1
