1;LTGS.MOTORRAUM BASIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;11N_970_700_C;L0L/L0R;1744 (g);~;CU: 647 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;;;;
3;705008;S.EPB_SW1.._XA.J104.501_21_1;XA.J104.501;ESPB;21;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;1;1-86B;N_105_974_01;-;N_037_095_6;-;-;1055;BL/GN;0,35;S.EPB_SW1..;x;x;x;x;-;-;-;-;705008
3;705009;S.EPB_SW2.._XA.J104.501_22_1;XA.J104.501;ESPB;22;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;2;1-86B;N_105_974_01;-;N_037_097_5;-;-;1055;GR/BL;0,35;S.EPB_SW2..;x;x;x;x;-;-;-;-;705009
3;705010;S.EPB_SW3.._XA.J104.501_23_1;XA.J104.501;ESPB;23;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;3;1-86B;N_105_974_01;-;N_037_095_5;-;-;1055;BL;0,35;S.EPB_SW3..;x;x;x;x;-;-;-;-;705010
3;705011;S.EPB_SW4.._XA.J104.501_24_1;XA.J104.501;ESPB;24;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;4;1-86B;N_105_974_01;-;N_037_096_7;-;-;1055;GN/GR;0,35;S.EPB_SW4..;x;x;x;x;-;-;-;-;705011
3;705021;S.10..RL_OUT_XA.J104.501_27_1;XA.J104.501;ESPB;27;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1A1;1FWVW;14;1-43F;N_103_360_03;357_972_740_E;N_037_097_3;-;-;2126;GR/RT;0,35;S.10..RL_OUT;x;x;x;x;-;-;-;-;705021
3;705022;S.10..RR_OUT_XA.J104.501_45_1;XA.J104.501;ESPB;45;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1A1;1FWVW;13;1-43F;N_103_360_03;357_972_740_E;N_037_097_0;-;-;2126;GR/WS;0,35;S.10..RR_OUT;x;x;x;x;-;-;-;-;705022
3;705023;S.10..RL_OUT_XA.J104.501.1_27_1;XA.J104.501.1;ESPB_R;27;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1A1;1FWVW;14;1-43F;N_103_360_03;357_972_740_E;N_037_097_3;-;-;1315;GR/RT;0,35;S.10..RL_OUT;-;-;-;-;x;x;x;x;705023
3;705024;S.10..RR_OUT_XA.J104.501.1_45_1;XA.J104.501.1;ESPB_R;45;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1A1;1FWVW;13;1-43F;N_103_360_03;357_972_740_E;N_037_097_0;-;-;1315;GR/WS;0,35;S.10..RR_OUT;-;-;-;-;x;x;x;x;705024
3;705033;M.31..MB792_A1_83_1_1;83;SP_MB792A2;1;1-53B;-;-;XB.NX6.501.1;EBKVB_R;1;1-56B;N_105_112_03;357_972_740_E;N_037_008_8;-;-;378;BR;0,5;M.31..MB792_A1;-;-;-;-;x;x;x;x;705033
3;705034;S.WK_BFG.._XB.NX6.501.1_2_1;XB.NX6.501.1;EBKVB_R;2;1-56B;N_105_112_03;357_972_740_E;XB.J519.1;SAMB;13;1-82F;N_907_649_01;-;N_037_005_8;-;-;1911;BL/BR;0,5;S.WK_BFG..;-;-;-;-;x;x;x;x;705034
3;705035;V.30A..EM_F32_XA.NX6.501.1_1_1;XA.NX6.501.1;EBKVA_R;1;1-57C;N_105_120_02;357_972_742_C;E-BOX;EMBF;32A;1-33H;N_105_120_04;-;N_037_063_3;-;-;2441;RT;6;V.30A..EM_F32;-;-;-;-;x;x;x;x;705035
3;705036;M.31..MB685_A1_XA.685.2.1_1_1;XA.685.2.1;MB685A_R;1;1-69B;6Q0_971_859_A;-;XA.NX6.501.1;EBKVA_R;9;1-57C;N_105_120_02;357_972_742_C;N_037_068_8;-;-;580;BR;6;M.31..MB685_A1;-;-;-;-;x;x;x;x;705036
3;705037;S.BLS..SAM_C58_XA.NX6.501.1_11_1;XA.NX6.501.1;EBKVA_R;11;1-57C;N_105_111_03;357_972_740_E;TIUL.2C1;3TRKMR;2;1-87G;N_105_981_01;-;N_037_099_3;-;-;2348;SW/RT;0,35;S.BLS..SAM_C58;-;-;-;-;x;x;x;x;705037
3;705045;D.CAN_EBKV_H.._XA.J104.501.1_7_1;XA.J104.501.1;ESPB_R;7;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;XA.NX6.501.1;EBKVA_R;16;1-57C;N_105_111_03;357_972_740_E;N_108_151_35;SL705045;2-sw;2321;SW;0,35;D.CAN_EBKV_H..;-;-;-;-;x;-;x;-;705045
3;705046;D.CAN_EBKV_L.._XA.J104.501.1_8_1;XA.J104.501.1;ESPB_R;8;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;XA.NX6.501.1;EBKVA_R;15;1-57C;N_105_111_03;357_972_740_E;N_108_151_35;SL705045;1-or/sw;2321;OR/SW;0,35;D.CAN_EBKV_L..;-;-;-;-;x;-;x;-;705046
3;705049;M.31..MB672-886_D1_212_1_1;212;SP_MB671A1;1;1-54E;-;-;XA.J104.501.1;ESPB_R;14;1-53D;N_105_119_02;357_972_742_E;N_037_058_8;-;-;250;BR;4;M.31..MB672-886_D1;-;-;-;-;x;x;x;x;705049
3;705050;M.31..MB672-886_D1_212_1_2;212;SP_MB671A1;1;1-54E;-;-;XA.J104.501.1;ESPB_R;46;1-53D;N_105_119_02;357_972_742_E;N_037_058_8;-;-;250;BR;4;M.31..MB672-886_D1;-;-;-;-;x;x;x;x;705050
3;705051;V.30A..EM_F15_XA.J104.501.1_1_1;XA.J104.501.1;ESPB_R;1;1-53D;N_105_119_02;357_972_742_E;E-BOX;EMBF;15A;1-33H;N_105_119_04;-;N_037_053_1;-;-;1580;RT/GE;4;V.30A..EM_F15;-;-;-;-;x;x;x;x;705051
3;705052;V.30A..EM_F13_XA.J104.501.1_30_1;XA.J104.501.1;ESPB_R;30;1-53D;N_105_118_02;357_972_742_B;E-BOX;EMBF;13A;1-33H;N_907_327_01;-;N_037_043_0;-;-;1580;RT/WS;2,5;V.30A..EM_F13;-;-;-;-;x;x;x;x;705052
3;705053;V.30A..EM_F2_XA.J104.501.1_6_1;XA.J104.501.1;ESPB_R;6;1-53D;N_107_397_01;BLOC_SEAL_120_FLR;J1;SP_30A_F2;1;1-48H;-;-;N_037_003_9;-;-;1044;RT/SW;0,5;V.30A..EM_F2;-;-;-;-;x;x;x;x;705053
3;705054;S.EPB_SW1.._XA.J104.501.1_21_1;XA.J104.501.1;ESPB_R;21;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;1;1-86B;N_105_974_01;-;N_037_095_6;-;-;2806;BL/GN;0,35;S.EPB_SW1..;-;-;-;-;x;x;x;x;705054
